Room,Time,Damper_Position,Flow_Rate,Flow_Temperature,Heat_Cool,Room_Temperature,Set_Point,Valve_Position
S4-14,2015-04-01 00:00:00-07:00,32.7199977875,220.0,,,70.25,82.0,
S4-14,2015-04-01 00:05:00-07:00,32.8799972534,219.2,,,70.25,82.0,
S4-14,2015-04-01 00:10:00-07:00,32.719997406,220.8,,,70.25,82.0,
S4-14,2015-04-01 00:15:00-07:00,32.3999977112,219.2,,,70.25,82.0,
S4-14,2015-04-01 00:20:00-07:00,33.0666637421,220.0,,,70.25,82.0,
S4-14,2015-04-01 00:25:00-07:00,32.5599975586,219.2,,,70.25,82.0,
S4-14,2015-04-01 00:30:00-07:00,33.1999969482,218.4,,,70.25,82.0,
S4-14,2015-04-01 00:35:00-07:00,33.1999969482,221.6,,,70.25,82.0,
S4-14,2015-04-01 00:40:00-07:00,33.1999969482,218.4,,,70.25,82.0,
S4-14,2015-04-01 00:45:00-07:00,33.2799972534,222.4,,,70.25,82.0,
S4-14,2015-04-01 00:50:00-07:00,32.719997406,220.0,,,70.25,82.0,
S4-14,2015-04-01 00:55:00-07:00,33.1999969482,221.6,,,70.25,82.0,
S4-14,2015-04-01 01:00:00-07:00,33.1999969482,220.0,,,70.25,82.0,
S4-14,2015-04-01 01:05:00-07:00,33.0399971008,219.2,,,70.25,82.0,
S4-14,2015-04-01 01:10:00-07:00,33.1999969482,219.2,,,70.25,82.0,
S4-14,2015-04-01 01:15:00-07:00,33.1999969482,219.2,,,70.25,82.0,
S4-14,2015-04-01 01:20:00-07:00,33.1999969482,220.8,,,70.25,82.0,
S4-14,2015-04-01 01:25:00-07:00,32.5599975586,219.2,,,70.25,82.0,
S4-14,2015-04-01 01:30:00-07:00,33.1999969482,220.0,,,70.25,82.0,
S4-14,2015-04-01 01:35:00-07:00,33.1999969482,220.8,,,70.25,82.0,
S4-14,2015-04-01 01:40:00-07:00,33.1999969482,220.8,,,70.25,82.0,
S4-14,2015-04-01 01:45:00-07:00,33.1999969482,220.0,,,70.25,82.0,
S4-14,2015-04-01 01:50:00-07:00,32.9333305359,218.4,,,70.25,82.0,
S4-14,2015-04-01 01:55:00-07:00,33.1999969482,220.8,,,70.25,82.0,
S4-14,2015-04-01 02:00:00-07:00,33.1999969482,220.0,,,70.25,82.0,
S4-14,2015-04-01 02:05:00-07:00,32.7999977112,220.8,,,70.25,82.0,
S4-14,2015-04-01 02:10:00-07:00,32.5333309174,220.8,,,70.3,82.0,
S4-14,2015-04-01 02:15:00-07:00,32.7999973297,220.0,,,70.25,82.0,
S4-14,2015-04-01 02:20:00-07:00,33.1999969482,220.8,,,70.35,82.0,
S4-14,2015-04-01 02:25:00-07:00,32.5599979401,218.4,,,70.3,82.0,
S4-14,2015-04-01 02:30:00-07:00,32.6999979019,226.0,,,70.375,82.0,
S4-14,2015-04-01 02:35:00-07:00,32.3999977112,220.0,,,70.2916666667,82.0,
S4-14,2015-04-01 02:40:00-07:00,32.719997406,219.2,,,70.25,82.0,
S4-14,2015-04-01 02:45:00-07:00,32.3999977112,220.8,,,70.3,82.0,
S4-14,2015-04-01 02:50:00-07:00,32.5999975204,220.0,,,70.25,82.0,
S4-14,2015-04-01 02:55:00-07:00,32.6666641235,219.2,,,70.25,82.0,
S4-14,2015-04-01 03:00:00-07:00,33.1999969482,218.4,,,70.25,82.0,
S4-14,2015-04-01 03:05:00-07:00,33.2799972534,221.0,,,70.25,82.0,
S4-14,2015-04-01 03:10:00-07:00,32.719997406,220.0,,,70.25,82.0,
S4-14,2015-04-01 03:15:00-07:00,33.119997406,220.666666667,,,70.25,82.0,
S4-14,2015-04-01 03:20:00-07:00,32.719997406,220.0,,,70.25,82.0,
S4-14,2015-04-01 03:25:00-07:00,32.7999977112,220.666666667,,,70.25,82.0,
S4-14,2015-04-01 03:30:00-07:00,33.0399971008,217.0,,,70.25,82.0,
S4-14,2015-04-01 03:35:00-07:00,33.1999969482,221.6,,,70.25,82.0,
S4-14,2015-04-01 03:40:00-07:00,33.1999969482,220.0,,,70.25,82.0,
S4-14,2015-04-01 03:45:00-07:00,33.1999969482,219.2,,,70.25,82.0,
