Room,Value_Temp,Value_SetPoint,deltaT
S1-01,92.3316550926,74.0,18.3316550926
S1-02,74.0449363426,74.0,0.0449363425926
S1-03,73.735546875,74.0,-0.264453125
S1-04,69.7735677083,70.0,-0.226432291667
S1-05,69.440234375,74.0,-4.559765625
S1-06,69.2408998843,74.0,-4.75910011574
S1-07,70.0348668981,70.0,0.0348668981481
S1-08,72.112181713,70.0,2.11218171296
S1-09,67.925,70.0,-2.075
S1-10,73.9620949074,74.0,-0.0379050925926
S1-13,70.1310619213,70.0,0.131061921296
S1-14,66.9361111111,70.2540509259,-3.31793981481
S1-15,74.3433015046,74.0,0.34330150463
S1-16,72.1802372685,70.5555555556,1.62468171296
S1-17,73.2991898148,74.0,-0.700810185185
S1-18,73.7252604167,74.0,-0.274739583333
S1-19,73.9088686343,74.0,-0.0911313657407
S1-20,72.2097945602,74.0,-1.79020543981
S2-01,70.8568287037,71.70625,-0.849421296296
S2-02,71.8834490741,71.70625,0.177199074074
S2-03,72.8469618056,76.5,-3.65303819444
S2-04,70.9611979167,69.0,1.96119791667
S2-05,72.8808304398,76.5,-3.61916956019
S2-06,74.3715422454,76.5,-2.12845775463
S2-07,72.812427662,76.5,-3.68757233796
S2-08,63.0,80.8333333333,-17.8333333333
S2-09,69.5968315972,77.3333333333,-7.73650173611
S2-10,73.4165653935,75.3333333333,-1.91676793981
S2-11,74.6656828704,76.5,-1.83431712963
S2-12,73.3380787037,76.5,-3.1619212963
S2-13,73.7439236111,76.0555555556,-2.31163194444
S2-14,70.8849392361,67.9166666667,2.96827256944
S2-15,73.4889756944,76.1166666667,-2.62769097222
S2-16,76.5222511574,76.5,0.0222511574074
S2-17,74.1627604167,76.5,-2.33723958333
S2-18,76.9255931713,76.5,0.425593171296
S2-19,77.2293547454,76.5,0.72935474537
S2-20,73.1673755787,76.5,-3.3326244213
S2-21,70.373509838,68.0,2.37350983796
S3-01,71.6081452546,74.8444444444,-3.23629918981
S3-02,70.6551359954,74.5916666667,-3.9365306713
S3-03,69.5612847222,75.5,-5.93871527778
S3-04,69.0870081019,75.5,-6.41299189815
S3-05,69.9924913194,75.5,-5.50750868056
S3-06,71.1066261574,73.885604167,-2.77897800958
S3-07,69.0683304398,69.0,0.0683304398148
S3-08,71.9411313657,75.2708635114,-3.32973214564
S3-09,69.0936631944,69.0,0.0936631944444
S3-10,72.2646701389,76.5,-4.23532986111
S3-11,71.9754340278,74.9388888889,-2.96345486111
S3-12,73.1447048611,73.5,-0.355295138889
S3-13,74.3724826389,77.3333333333,-2.96085069444
S3-14,73.1647280093,77.3333333333,-4.16860532407
S3-15,73.0487847222,76.5,-3.45121527778
S3-16,70.3130642361,75.1777455012,-4.86468126509
S3-17,71.9119502315,75.5,-3.58804976852
S3-18,70.8941550926,67.9166666667,2.97748842593
S3-19,69.2072048611,75.3277777778,-6.12057291667
S3-20,70.5901041667,67.9166666667,2.6734375
S3-21,69.5171006944,75.5,-5.98289930556
S4-01,67.8264467593,74.7509259259,-6.92447916667
S4-02,69.6344039352,75.3388888889,-5.7044849537
S4-03,71.5478009259,75.4548611111,-3.90706018519
S4-04,71.2325954861,76.5,-5.26740451389
S4-05,69.6826822917,75.5,-5.81731770833
S4-06,67.9511574074,74.2555555556,-6.30439814815
S4-07,71.9805989583,75.5,-3.51940104167
S4-08,75.1935040509,75.5,-0.306495949074
S4-09,70.7037037037,68.3363425926,2.36736111111
S4-10,70.4967303241,77.3333333333,-6.83660300926
S4-11,70.9651475694,67.9166666667,3.04848090278
S4-12,72.3099392361,75.5,-3.19006076389
S4-13,72.336255787,75.5,-3.16374421296
S4-14,69.5626302083,77.3333333333,-7.770703125
S4-15,71.4454861111,68.1534722222,3.29201388889
S4-16,69.198365162,75.5,-6.30163483796
S4-17,66.872974537,77.3333333333,-10.4603587963
S4-18,70.8374710648,75.1776817238,-4.34021065897
S4-19,70.1500868056,67.9166666667,2.23342013889
S4-20,69.4311197917,75.5,-6.06888020833
S4-21,69.422265625,75.4444444444,-6.02217881944
S5-01,68.6505931713,76.5,-7.8494068287
S5-02,68.8860532407,67.9143518519,0.971701388889
S5-03,68.1561921296,72.9401214988,-4.78392936918
S5-04,70.1072627315,75.5001157407,-5.39285300926
S5-05,70.2245949074,75.5001157407,-5.27552083333
S5-06,65.852271412,69.9292880129,-4.07701660086
S5-07,71.685083912,74.6570950208,-2.97201110875
S5-08,71.931640625,75.5001157407,-3.56847511574
S5-09,69.3582899306,67.9143518519,1.4439380787
S5-10,74.113671875,75.5001157407,-1.38644386574
S5-11,70.5994791667,67.9143518519,2.68512731481
S5-12,70.5724392361,75.5001157407,-4.92767650463
S5-13,70.8502170139,67.9143518519,2.93586516204
S5-14,70.2101996528,67.9143518519,2.29584780093
S5-15,66.216869213,77.9199074074,-11.7030381944
S5-16,69.7260850694,67.9143518519,1.81173321759
S5-17,66.6644675926,77.337037037,-10.6725694444
S5-18,71.0546585648,75.5001157407,-4.44545717593
S5-19,69.440943287,67.9131944444,1.52774884259
S5-20,69.98515625,75.5006944444,-5.51553819444
S5-21,69.7240306713,75.4659722328,-5.74194156152
S6-01,69.1087384259,75.4663888719,-6.35765044601
S6-02,69.9620515046,75.5006944444,-5.53864293981
S6-03,75.2358072917,75.5006944444,-0.264887152778
S6-04,68.9338831019,67.9140625,1.01982060185
S6-05,68.6592737269,75.4506944444,-6.79142071759
S6-06,66.354224537,70.3862012439,-4.03197670689
S6-07,67.6401041667,73.9666955842,-6.32659141752
S6-08,72.6024016204,75.3143264029,-2.71192478251
S6-09,66.0453125,77.3375,-11.2921875
S6-10,73.8184027778,73.8991596911,-0.0807569132911
S6-11,70.0695457176,67.9140625,2.15548321759
S6-12,70.1038194444,75.5006944444,-5.396875
S6-13,69.9549623843,74.5988750458,-4.64391266152
S6-14,73.6043113426,77.3375,-3.73318865741
S6-15,71.8615162037,75.5006944444,-3.63917824074
S6-16,70.9416087963,77.3375,-6.3958912037
S6-17,71.5089409722,74.0,-2.49105902778
S6-18,69.5903501157,67.9140625,1.67628761574
S6-19,70.2776041667,67.9166666667,2.3609375
S6-20,68.7035590278,75.5006944444,-6.79713541667
S7-01,70.925853588,75.25625,-4.33039641204
S7-02,70.76328125,74.7305555556,-3.96727430556
S7-03,72.7476273148,74.5271111117,-1.77948379693
S7-04,77.6750434028,75.1107431412,2.5643002616
S7-05,67.452662037,74.1455279456,-6.69286590859
S7-06,68.75,75.5006944444,-6.75069444444
S7-07,71.5290075231,71.7270833333,-0.198075810185
S7-08,70.4619791667,75.5,-5.03802083333
S7-09,73.3571759259,75.5006944444,-2.14351851852
S7-10,75.4680121528,75.5006944444,-0.0326822916667
S7-11,70.814771412,77.3333333333,-6.5185619213
S7-12,67.9394675926,77.3333333333,-9.39386574074
S7-13,72.6843315972,75.5006944444,-2.81636284722
S7-14,73.1322627315,75.5006944444,-2.36843171296
S7-15,70.0923321759,67.9166666667,2.17566550926
S7-16,70.5444444444,75.20625,-4.66180555556
